Date/Heure;Nom;Quantité;Sens;Taille;Tracking;Turbidité
2025-02-07 05:00:54.040;TRF;1;0;0;;3
2025-02-07 07:49:48.853;TRF;1;0;0;;3
2025-02-07 08:00:51.429;TRF;1;0;0;;3
2025-02-07 14:58:23.686;TRF;1;0;0;;0
2025-02-07 15:06:28.977;TRF;1;0;0;;0
2025-02-07 17:24:40.890;TRF;1;0;0;;0
2025-02-07 17:25:02.515;TRF;1;0;0;;0
2025-02-07 18:17:51.910;TRF;1;0;0;;0
2025-02-07 18:22:00.985;TRF;1;0;0;;0
2025-02-07 18:40:24.365;TRF;1;0;0;;0
2025-02-07 18:43:44.326;TRF;1;0;0;;0
2025-02-07 18:44:53.566;TRF;1;0;0;;0
2025-02-07 18:49:11.841;TRF;1;0;0;;0
2025-02-07 21:15:33.495;TRF;1;0;0;;0
2025-02-07 21:17:27.193;TRF;1;0;0;;0
2025-02-07 23:16:11.827;TRF;1;0;0;;0
2025-02-07 23:20:09.419;TRF;1;0;0;;0
2025-02-08 00:57:59.009;TRF;1;0;0;;0
2025-02-08 01:52:58.897;TRF;1;0;0;;0
2025-02-08 02:00:06.201;TRF;1;0;0;;0
2025-02-08 02:17:03.317;TRF;1;0;0;;0
2025-02-08 02:19:49.616;TRF;1;0;0;;0
2025-02-08 02:20:20.428;TRF;1;0;0;;0
2025-02-08 07:51:06.393;TRF;1;0;0;;0
2025-02-08 07:51:10.240;TRF;1;0;0;;0
2025-02-08 07:58:40.727;TRF;1;0;0;;0
2025-02-08 08:01:30.262;TRF;1;0;0;;0
2025-02-08 08:11:22.518;TRF;1;0;0;;0
2025-02-08 18:20:13.737;TRF;1;0;0;;0
2025-02-08 18:20:29.095;TRF;1;0;0;;0
2025-02-08 18:27:34.215;TRF;1;0;0;;0
2025-02-08 19:04:10.654;TRF;1;0;0;;0
2025-02-08 19:05:25.514;TRF;1;0;0;;0
2025-02-08 20:11:42.765;TRF;1;0;0;;0
